seconds_left,margin,opp_bonus,p_win_with_ball
30,2,1-and-1,0.8471
30,2,double,0.8715
30,3,none,0.9019
30,3,1-and-1,0.9227
30,3,double,0.9368
30,4,none,0.9462
30,4,1-and-1,0.9623
30,4,double,0.9715
30,5,none,0.9767
30,5,1-and-1,0.9853
30,5,double,0.9894
30,6,none,0.9887
30,6,1-and-1,0.9936
30,6,double,0.9958
45,-6,none,0.0429
45,-6,1-and-1,0.0484
45,-6,double,0.052
45,-5,none,0.0753
45,-5,1-and-1,0.0841
45,-5,double,0.091
45,-4,none,0.1331
45,-4,1-and-1,0.1453
45,-4,double,0.1555
45,-3,none,0.204
45,-3,1-and-1,0.2201
45,-3,double,0.2355
45,-2,none,0.3119
45,-2,1-and-1,0.3291
45,-2,double,0.3484
45,-1,none,0.4264
45,-1,1-and-1,0.4491
45,-1,double,0.4745
45,0,none,0.5598
45,0,1-and-1,0.58
45,0,double,0.6067
45,1,none,0.7054
45,1,1-and-1,0.7324
45,1,double,0.7562
45,2,none,0.7939
45,2,1-and-1,0.8194
45,2,double,0.8424
45,3,none,0.8809
45,3,1-and-1,0.9032
45,3,double,0.9178
45,4,none,0.9268
45,4,1-and-1,0.9451
45,4,double,0.9557
45,5,none,0.9626
45,5,1-and-1,0.9741
45,5,double,0.9798
45,6,none,0.9795
45,6,1-and-1,0.987
45,6,double,0.9904
60,-6,none,0.0569
60,-6,1-and-1,0.064
60,-6,double,0.0686
60,-5,none,0.0924
60,-5,1-and-1,0.103
60,-5,double,0.1109
60,-4,none,0.1518
60,-4,1-and-1,0.166
60,-4,double,0.1768
60,-3,none,0.221
60,-3,1-and-1,0.2395
60,-3,double,0.2559
60,-2,none,0.3287
60,-2,1-and-1,0.3502
60,-2,double,0.3694
60,-1,none,0.4336
60,-1,1-and-1,0.46
60,-1,double,0.485
60,0,none,0.5576
60,0,1-and-1,0.5829
60,0,double,0.6089
60,1,none,0.6864
60,1,1-and-1,0.715
60,1,double,0.7379
60,2,none,0.7723
60,2,1-and-1,0.7986
60,2,double,0.8205
60,3,none,0.8626
60,3,1-and-1,0.8857
60,3,double,0.9005
60,4,none,0.9104
60,4,1-and-1,0.9295
60,4,double,0.9409
60,5,none,0.95
60,5,1-and-1,0.9632
60,5,double,0.9698
60,6,none,0.9715
60,6,1-and-1,0.9806
60,6,double,0.9847
