seconds_left,margin,opp_bonus,p_win_with_ball
30,2,double,0.8112
30,3,none,0.874
30,3,1-and-1,0.8824
30,3,double,0.894
30,4,none,0.9172
30,4,1-and-1,0.9248
30,4,double,0.9356
30,5,none,0.9603
30,5,1-and-1,0.9645
30,5,double,0.9701
30,6,none,0.9776
30,6,1-and-1,0.9804
30,6,double,0.9845
45,-6,none,0.0662
45,-6,1-and-1,0.0754
45,-6,double,0.081
45,-5,none,0.1011
45,-5,1-and-1,0.1152
45,-5,double,0.1239
45,-4,none,0.157
45,-4,1-and-1,0.1719
45,-4,double,0.1821
45,-3,none,0.2125
45,-3,1-and-1,0.229
45,-3,double,0.2453
45,-2,none,0.3263
45,-2,1-and-1,0.3412
45,-2,double,0.3565
45,-1,none,0.4232
45,-1,1-and-1,0.4365
45,-1,double,0.4589
45,0,none,0.5539
45,0,1-and-1,0.5646
45,0,double,0.5864
45,1,none,0.6942
45,1,1-and-1,0.7056
45,1,double,0.7229
45,2,none,0.7686
45,2,1-and-1,0.7806
45,2,double,0.8
45,3,none,0.8586
45,3,1-and-1,0.8685
45,3,double,0.8804
45,4,none,0.9026
45,4,1-and-1,0.9127
45,4,double,0.9236
45,5,none,0.9405
45,5,1-and-1,0.948
45,5,double,0.9549
45,6,none,0.9645
45,6,1-and-1,0.9696
45,6,double,0.9747
60,-6,none,0.0747
60,-6,1-and-1,0.0845
60,-6,double,0.0905
60,-5,none,0.1093
60,-5,1-and-1,0.1231
60,-5,double,0.1315
60,-4,none,0.1649
60,-4,1-and-1,0.1798
60,-4,double,0.1901
60,-3,none,0.224
60,-3,1-and-1,0.2412
60,-3,double,0.2571
60,-2,none,0.3343
60,-2,1-and-1,0.3506
60,-2,double,0.3663
60,-1,none,0.4281
60,-1,1-and-1,0.4439
60,-1,double,0.4655
60,0,none,0.5512
60,0,1-and-1,0.566
60,0,double,0.5875
60,1,none,0.6801
60,1,1-and-1,0.6939
60,1,double,0.7118
60,2,none,0.7581
60,2,1-and-1,0.7718
60,2,double,0.7909
60,3,none,0.8483
